GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,"Estimate; Less than $10,000:"
HD02_VD02,"Margin of Error; Less than $10,000:"
HD01_VD03,"Estimate; Less than $10,000: - With dial-up Internet subscription alone"
HD02_VD03,"Margin of Error; Less than $10,000: - With dial-up Internet subscription alone"
HD01_VD04,"Estimate; Less than $10,000: - With a broadband Internet subscription"
HD02_VD04,"Margin of Error; Less than $10,000: - With a broadband Internet subscription"
HD01_VD05,"Estimate; Less than $10,000: - Without an Internet subscription"
HD02_VD05,"Margin of Error; Less than $10,000: - Without an Internet subscription"
HD01_VD06,"Estimate; $10,000 to $19,999:"
HD02_VD06,"Margin of Error; $10,000 to $19,999:"
HD01_VD07,"Estimate; $10,000 to $19,999: - With dial-up Internet subscription alone"
HD02_VD07,"Margin of Error; $10,000 to $19,999: - With dial-up Internet subscription alone"
HD01_VD08,"Estimate; $10,000 to $19,999: - With a broadband Internet subscription"
HD02_VD08,"Margin of Error; $10,000 to $19,999: - With a broadband Internet subscription"
HD01_VD09,"Estimate; $10,000 to $19,999: - Without an Internet subscription"
HD02_VD09,"Margin of Error; $10,000 to $19,999: - Without an Internet subscription"
HD01_VD10,"Estimate; $20,000 to $34,999:"
HD02_VD10,"Margin of Error; $20,000 to $34,999:"
HD01_VD11,"Estimate; $20,000 to $34,999: - With dial-up Internet subscription alone"
HD02_VD11,"Margin of Error; $20,000 to $34,999: - With dial-up Internet subscription alone"
HD01_VD12,"Estimate; $20,000 to $34,999: - With a broadband Internet subscription"
HD02_VD12,"Margin of Error; $20,000 to $34,999: - With a broadband Internet subscription"
HD01_VD13,"Estimate; $20,000 to $34,999: - Without an Internet subscription"
HD02_VD13,"Margin of Error; $20,000 to $34,999: - Without an Internet subscription"
HD01_VD14,"Estimate; $35,000 to $49,999:"
HD02_VD14,"Margin of Error; $35,000 to $49,999:"
HD01_VD15,"Estimate; $35,000 to $49,999: - With dial-up Internet subscription alone"
HD02_VD15,"Margin of Error; $35,000 to $49,999: - With dial-up Internet subscription alone"
HD01_VD16,"Estimate; $35,000 to $49,999: - With a broadband Internet subscription"
HD02_VD16,"Margin of Error; $35,000 to $49,999: - With a broadband Internet subscription"
HD01_VD17,"Estimate; $35,000 to $49,999: - Without an Internet subscription"
HD02_VD17,"Margin of Error; $35,000 to $49,999: - Without an Internet subscription"
HD01_VD18,"Estimate; $50,000 to $74,999:"
HD02_VD18,"Margin of Error; $50,000 to $74,999:"
HD01_VD19,"Estimate; $50,000 to $74,999: - With dial-up Internet subscription alone"
HD02_VD19,"Margin of Error; $50,000 to $74,999: - With dial-up Internet subscription alone"
HD01_VD20,"Estimate; $50,000 to $74,999: - With a broadband Internet subscription"
HD02_VD20,"Margin of Error; $50,000 to $74,999: - With a broadband Internet subscription"
HD01_VD21,"Estimate; $50,000 to $74,999: - Without an Internet subscription"
HD02_VD21,"Margin of Error; $50,000 to $74,999: - Without an Internet subscription"
HD01_VD22,"Estimate; $75,000 or more:"
HD02_VD22,"Margin of Error; $75,000 or more:"
HD01_VD23,"Estimate; $75,000 or more: - With dial-up Internet subscription alone"
HD02_VD23,"Margin of Error; $75,000 or more: - With dial-up Internet subscription alone"
HD01_VD24,"Estimate; $75,000 or more: - With a broadband Internet subscription"
HD02_VD24,"Margin of Error; $75,000 or more: - With a broadband Internet subscription"
HD01_VD25,"Estimate; $75,000 or more: - Without an Internet subscription"
HD02_VD25,"Margin of Error; $75,000 or more: - Without an Internet subscription"
