GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Total population in households
HC01_MOE_VC01,Total; Margin of Error; Total population in households
HC02_EST_VC01,With a computer  - Broadband Internet Subscription; Estimate; Total population in households
HC02_MOE_VC01,With a computer  - Broadband Internet Subscription; Margin of Error; Total population in households
HC03_EST_VC01,With a computer  - Percent  Broadband Internet Subscription; Estimate; Total population in households
HC03_MOE_VC01,With a computer  - Percent  Broadband Internet Subscription; Margin of Error; Total population in households
HC04_EST_VC01,With a computer  - Without an Internet Subscription; Estimate; Total population in households
HC04_MOE_VC01,With a computer  - Without an Internet Subscription; Margin of Error; Total population in households
HC05_EST_VC01,With a computer  - Percent without an Internet Subscription; Estimate; Total population in households
HC05_MOE_VC01,With a computer  - Percent without an Internet Subscription; Margin of Error; Total population in households
HC06_EST_VC01,No computer in household; Estimate; Total population in households
HC06_MOE_VC01,No computer in household; Margin of Error; Total population in households
HC07_EST_VC01,Percent no computer in household; Estimate; Total population in households
HC07_MOE_VC01,Percent no computer in household; Margin of Error; Total population in households
HC01_EST_VC04,Total; Estimate; AGE - Under 18 years
HC01_MOE_VC04,Total; Margin of Error; AGE - Under 18 years
HC02_EST_VC04,With a computer  - Broadband Internet Subscription; Estimate; AGE - Under 18 years
HC02_MOE_VC04,With a computer  - Broadband Internet Subscription; Margin of Error; AGE - Under 18 years
HC03_EST_VC04,With a computer  - Percent  Broadband Internet Subscription; Estimate; AGE - Under 18 years
HC03_MOE_VC04,With a computer  - Percent  Broadband Internet Subscription; Margin of Error; AGE - Under 18 years
HC04_EST_VC04,With a computer  - Without an Internet Subscription; Estimate; AGE - Under 18 years
HC04_MOE_VC04,With a computer  - Without an Internet Subscription; Margin of Error; AGE - Under 18 years
HC05_EST_VC04,With a computer  - Percent without an Internet Subscription; Estimate; AGE - Under 18 years
HC05_MOE_VC04,With a computer  - Percent without an Internet Subscription; Margin of Error; AGE - Under 18 years
HC06_EST_VC04,No computer in household; Estimate; AGE - Under 18 years
HC06_MOE_VC04,No computer in household; Margin of Error; AGE - Under 18 years
HC07_EST_VC04,Percent no computer in household; Estimate; AGE - Under 18 years
HC07_MOE_VC04,Percent no computer in household; Margin of Error; AGE - Under 18 years
HC01_EST_VC05,Total; Estimate; AGE - 18 to 64 years
HC01_MOE_VC05,Total; Margin of Error; AGE - 18 to 64 years
HC02_EST_VC05,With a computer  - Broadband Internet Subscription; Estimate; AGE - 18 to 64 years
HC02_MOE_VC05,With a computer  - Broadband Internet Subscription; Margin of Error; AGE - 18 to 64 years
HC03_EST_VC05,With a computer  - Percent  Broadband Internet Subscription; Estimate; AGE - 18 to 64 years
HC03_MOE_VC05,With a computer  - Percent  Broadband Internet Subscription; Margin of Error; AGE - 18 to 64 years
HC04_EST_VC05,With a computer  - Without an Internet Subscription; Estimate; AGE - 18 to 64 years
HC04_MOE_VC05,With a computer  - Without an Internet Subscription; Margin of Error; AGE - 18 to 64 years
HC05_EST_VC05,With a computer  - Percent without an Internet Subscription; Estimate; AGE - 18 to 64 years
HC05_MOE_VC05,With a computer  - Percent without an Internet Subscription; Margin of Error; AGE - 18 to 64 years
HC06_EST_VC05,No computer in household; Estimate; AGE - 18 to 64 years
HC06_MOE_VC05,No computer in household; Margin of Error; AGE - 18 to 64 years
HC07_EST_VC05,Percent no computer in household; Estimate; AGE - 18 to 64 years
HC07_MOE_VC05,Percent no computer in household; Margin of Error; AGE - 18 to 64 years
HC01_EST_VC06,Total; Estimate; AGE - 65 years and over
HC01_MOE_VC06,Total; Margin of Error; AGE - 65 years and over
HC02_EST_VC06,With a computer  - Broadband Internet Subscription; Estimate; AGE - 65 years and over
HC02_MOE_VC06,With a computer  - Broadband Internet Subscription; Margin of Error; AGE - 65 years and over
HC03_EST_VC06,With a computer  - Percent  Broadband Internet Subscription; Estimate; AGE - 65 years and over
HC03_MOE_VC06,With a computer  - Percent  Broadband Internet Subscription; Margin of Error; AGE - 65 years and over
HC04_EST_VC06,With a computer  - Without an Internet Subscription; Estimate; AGE - 65 years and over
HC04_MOE_VC06,With a computer  - Without an Internet Subscription; Margin of Error; AGE - 65 years and over
HC05_EST_VC06,With a computer  - Percent without an Internet Subscription; Estimate; AGE - 65 years and over
HC05_MOE_VC06,With a computer  - Percent without an Internet Subscription; Margin of Error; AGE - 65 years and over
HC06_EST_VC06,No computer in household; Estimate; AGE - 65 years and over
HC06_MOE_VC06,No computer in household; Margin of Error; AGE - 65 years and over
HC07_EST_VC06,Percent no computer in household; Estimate; AGE - 65 years and over
HC07_MOE_VC06,Percent no computer in household; Margin of Error; AGE - 65 years and over
HC01_EST_VC09,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - White alone
HC01_MOE_VC09,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - White alone
HC02_EST_VC09,With a computer  - Broadband Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - White alone
HC02_MOE_VC09,With a computer  - Broadband Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - White alone
HC03_EST_VC09,With a computer  - Percent  Broadband Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - White alone
HC03_MOE_VC09,With a computer  - Percent  Broadband Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - White alone
HC04_EST_VC09,With a computer  - Without an Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - White alone
HC04_MOE_VC09,With a computer  - Without an Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - White alone
HC05_EST_VC09,With a computer  - Percent without an Internet Subscription; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - White alone
HC05_MOE_VC09,With a computer  - Percent without an Internet Subscription; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - White alone
HC06_EST_VC09,No computer in household; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - White alone
HC06_MOE_VC09,No computer in household; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - White alone
