BlockCode,MaxAdDown,MaxAdUp
090010101011000,101.0,35.0
090010101011001,101.0,100.0
090010101011002,101.0,35.0
090010101011003,101.0,35.0
090010101011004,101.0,35.0
090010101011005,101.0,35.0
090010101011006,101.0,35.0
090010101011007,101.0,100.0
090010101011008,101.0,100.0
090010101011009,101.0,100.0
090010101011010,101.0,100.0
090010101011011,101.0,35.0
090010101011012,101.0,100.0
090010101011013,101.0,35.0
090010101011014,101.0,35.0
090010101011015,101.0,35.0
090010101011016,101.0,35.0
090010101012000,101.0,35.0
090010101012001,101.0,100.0
090010101012002,101.0,100.0
090010101012003,101.0,35.0
090010101012004,101.0,35.0
090010101012005,101.0,35.0
090010101012006,101.0,35.0
090010101012007,101.0,35.0
090010101012008,101.0,100.0
090010101012009,101.0,35.0
090010101012010,101.0,100.0
090010101012011,101.0,35.0
090010101012012,101.0,100.0
090010101012013,101.0,100.0
090010101012014,101.0,100.0
090010101012015,101.0,100.0
090010101012016,101.0,100.0
090010101012017,101.0,35.0
090010101013000,101.0,35.0
090010101013001,101.0,35.0
090010101013002,101.0,100.0
090010101013003,101.0,35.0
090010101013004,101.0,35.0
090010101013005,101.0,35.0
090010101013006,101.0,100.0
090010101013007,101.0,35.0
090010101013008,101.0,100.0
090010101013009,101.0,35.0
090010101013010,101.0,35.0
090010101013011,101.0,100.0
090010101013012,101.0,35.0
090010101013013,101.0,100.0
090010101013014,101.0,100.0
090010101013015,101.0,100.0
090010101013016,101.0,35.0
090010101013017,101.0,100.0
090010101013018,101.0,100.0
090010101013019,101.0,35.0
090010101013020,101.0,35.0
090010101013021,101.0,100.0
090010101013022,101.0,100.0
090010101013023,101.0,35.0
090010101013024,101.0,100.0
090010101013025,101.0,100.0
090010101013026,101.0,100.0
090010101013027,101.0,100.0
090010101013028,101.0,100.0
090010101013029,101.0,100.0
090010101013030,101.0,100.0
090010101013031,101.0,100.0
090010101013032,101.0,35.0
090010101013033,101.0,35.0
090010101013034,101.0,35.0
090010101013035,101.0,35.0
090010101013036,101.0,35.0
090010101013037,101.0,35.0
090010101013038,101.0,35.0
090010101013039,101.0,35.0
090010101013040,101.0,35.0
090010101013041,101.0,100.0
090010101013042,101.0,35.0
090010101013043,101.0,35.0
090010101013044,101.0,35.0
090010101013045,101.0,35.0
090010101013046,101.0,35.0
090010101013047,101.0,35.0
090010101013048,101.0,35.0
090010101013049,101.0,35.0
090010101013050,101.0,35.0
090010101013051,101.0,35.0
090010101013052,101.0,35.0
090010101013053,101.0,35.0
090010101013054,101.0,35.0
090010101013055,101.0,35.0
090010101013056,101.0,35.0
090010101014000,101.0,35.0
090010101014001,101.0,100.0
090010101014002,101.0,35.0
090010101014003,101.0,35.0
090010101014004,101.0,35.0
090010101014005,101.0,35.0
090010101014006,101.0,100.0
090010101014007,101.0,35.0
090010101014008,101.0,35.0
090010101014009,101.0,35.0
090010101014010,101.0,100.0
090010101014011,101.0,35.0
090010101014012,101.0,100.0
090010101014013,101.0,35.0
090010101014014,101.0,35.0
090010101014015,101.0,35.0
090010101014016,101.0,35.0
090010101014017,101.0,35.0
090010101014018,101.0,35.0
090010101014019,101.0,35.0
090010101014020,101.0,100.0
090010101014021,101.0,35.0
090010101014022,101.0,100.0
090010101014023,101.0,35.0
090010101014024,101.0,35.0
090010101014025,101.0,35.0
090010101014026,101.0,35.0
090010101014027,101.0,35.0
090010101014028,101.0,35.0
090010101014029,101.0,35.0
090010101014030,101.0,35.0
090010101014031,101.0,35.0
090010101014032,101.0,35.0
090010101014033,101.0,35.0
090010101014034,101.0,35.0
090010101014035,101.0,35.0
090010101014036,101.0,35.0
090010101014037,101.0,100.0
090010101014038,101.0,35.0
090010101014039,101.0,35.0
090010101014040,101.0,35.0
090010101014041,101.0,35.0
090010101014042,101.0,35.0
090010101014043,101.0,35.0
090010101014044,101.0,35.0
090010101014045,101.0,100.0
090010101014046,101.0,100.0
090010101014047,101.0,35.0
090010101014048,101.0,35.0
090010101014049,101.0,100.0
090010101014050,101.0,100.0
090010101014051,101.0,35.0
090010101021000,101.0,35.0
090010101021001,101.0,35.0
090010101021002,101.0,35.0
090010101021003,101.0,35.0
090010101021004,101.0,35.0
090010101021005,101.0,35.0
090010101021006,101.0,35.0
090010101021007,101.0,35.0
090010101021008,101.0,35.0
090010101021009,101.0,35.0
090010101021010,101.0,35.0
090010101021011,101.0,35.0
090010101021012,101.0,35.0
090010101021013,101.0,100.0
090010101021014,101.0,100.0
090010101021015,101.0,100.0
090010101021016,101.0,100.0
090010101021017,101.0,100.0
090010101021018,101.0,35.0
090010101021019,101.0,35.0
090010101021020,101.0,100.0
090010101021021,101.0,100.0
090010101021022,101.0,35.0
090010101021023,101.0,100.0
090010101021024,101.0,100.0
090010101021025,101.0,35.0
090010101021026,101.0,35.0
090010101021027,101.0,35.0
090010101021028,101.0,35.0
090010101021029,101.0,35.0
090010101021030,101.0,35.0
090010101021031,101.0,35.0
090010101021032,101.0,100.0
090010101021033,101.0,35.0
090010101021034,101.0,35.0
090010101021035,101.0,35.0
090010101022000,101.0,35.0
090010101022001,101.0,35.0
090010101022002,101.0,35.0
090010101022003,101.0,35.0
090010101022004,101.0,35.0
090010101022005,101.0,35.0
090010101022006,101.0,35.0
090010101022007,101.0,35.0
090010101022008,101.0,35.0
090010101022009,101.0,35.0
090010101022010,101.0,35.0
090010101022011,101.0,35.0
090010101022012,101.0,35.0
090010101022013,101.0,35.0
090010101022014,101.0,35.0
090010101022015,101.0,35.0
090010101022016,101.0,35.0
090010101022017,101.0,35.0
090010101022018,101.0,35.0
090010101022019,101.0,35.0
090010101022020,101.0,35.0
090010101022021,101.0,35.0
090010101022022,101.0,35.0
090010101022023,101.0,35.0
090010101022024,101.0,35.0
090010101022025,101.0,35.0
090010101022026,101.0,35.0
090010101022027,101.0,35.0
090010101022028,101.0,100.0
090010101022029,101.0,35.0
090010101022030,101.0,35.0
090010101022031,101.0,35.0
090010101022032,101.0,35.0
090010101022033,101.0,35.0
090010101022034,101.0,35.0
090010101022035,101.0,35.0
090010101022036,101.0,35.0
090010101022037,101.0,35.0
090010101022038,101.0,35.0
090010101022039,101.0,35.0
